TIC,P_your,EPIC,P_k2,sep_arcsec
175194958,17.125,211969807,9.11,0.27505779184881657
293375721,16.23,211529065,17.23,0.03908551625435404
187309502,20.866,212554013,20.28,0.05668490142274503
113979956,35.822,210750726,32.21,0.10899556055831383
435339847,20.686,210363145,20.31,0.03017925963041671
366631954,24.244,211359660,24.99,0.018436785427265855
294319820,23.065,212440430,26.47,0.03535815454446081
238608004,18.253,212088059,18.29,0.03918873135239329
440687723,23.532,210838726,23.79,0.02155873683322996
12822545,16.414,205916793,16.68,0.11613059023422166
257436461,33.122,220241529,33.39,0.05302593159839129
146799150,12.677,206026136,12.82,0.023015910032363075
423358488,14.466,220194974,14.75,0.02725511128165048
175241633,11.113,211897691,11.59,0.03316714758864005
187273811,13.625,212555594,13.61,0.024270353175167438
38258419,21.761,206159027,22.15,0.020328182909467415
195193025,24.244,211916756,11.38,0.03111856681347995
135043332,7.056,212768333,7.18,0.11081437825145758
12181371,26.812,217941732,16.81,0.011318559898282104
115072772,26.855,212828909,27.48,0.05058286354873846
14111411,25.266,210968143,25.21,0.061404433056752965
39936432,29.429,206119924,29.83,0.012934066991255424
14635562,33.181,212006344,28.15,0.02924224343592067
380884458,30.5,220522262,30.11,0.10573633072816171
458686847,9.179,211331236,18.78,0.037906835393671304
337607207,8.733,211611158,17.3,0.033607447368830506
175265494,10.788,211913977,10.9,0.021221874967667104
90090343,23.688,214173069,24.22,0.027351836944943586
7059054,10.187,211818569,10.37,0.0398548643065479
376938120,33.119,220696233,30.04,0.11182450313570552
175262071,11.457,211970147,11.64,0.018328525272250745
293460551,30.19,211770795,27.32,0.047645378619844504
175194958,17.125,211969807,9.11,0.27505779184881657
293375721,16.23,211529065,17.23,0.03908551625435404
187309502,20.866,212554013,20.28,0.05668490142274503
113979956,35.822,210750726,32.21,0.10899556055831383
435339847,20.686,210363145,20.31,0.03017925963041671
366631954,24.244,211359660,24.99,0.018436785427265855
294319820,23.065,212440430,26.47,0.03535815454446081
238608004,18.253,212088059,18.29,0.03918873135239329
440687723,23.532,210838726,23.79,0.02155873683322996
12822545,16.414,205916793,16.68,0.11613059023422166
257436461,33.122,220241529,33.39,0.05302593159839129
146799150,12.677,206026136,12.82,0.023015910032363075
423358488,14.466,220194974,14.75,0.02725511128165048
175241633,11.113,211897691,11.59,0.03316714758864005
187273811,13.625,212555594,13.61,0.024270353175167438
38258419,21.761,206159027,22.15,0.020328182909467415
195193025,24.244,211916756,11.38,0.03111856681347995
135043332,7.056,212768333,7.18,0.11081437825145758
12181371,26.812,217941732,16.81,0.011318559898282104
115072772,26.855,212828909,27.48,0.05058286354873846
14111411,25.266,210968143,25.21,0.061404433056752965
39936432,29.429,206119924,29.83,0.012934066991255424
14635562,33.181,212006344,28.15,0.02924224343592067
380884458,30.5,220522262,30.11,0.10573633072816171
458686847,9.179,211331236,18.78,0.037906835393671304
337607207,8.733,211611158,17.3,0.033607447368830506
175265494,10.788,211913977,10.9,0.021221874967667104
